"edge_id","interlanguage_id","mechanism","population_cell_id","community_label","territory","language_tag","script","coverage_mode","comprehension_low","comprehension_base","comprehension_high","prior_study_required","receptive_or_productive","tested_task","script_match","existing_edition_overlap","explicit_exclusions","double_count_rule","recommended_portfolio","adaptation_depth","source_ids","source_locator","confidence","inference_flag","notes"
"EDGE-ISV-000","IL-ISV","constructed_bridge","CELL-ISV-STUDY-POOL","Pooled native-Slavic study respondents","self-selected online sample","multiple native Slavic labels","study surface reported as written Interslavic","cross_language_bridge","unknown","0.84","unknown","not required for the short cloze; sustained mathematics unknown","receptive","seven-gap written professional-text cloze","study-specific","No exact local native-language-edition overlap was subtracted","No untested minority or exact language leaf receives this pooled value","The pooled 0.84 is one study-level point estimate and may not be copied to leaf rows or multiplied by a Slavic demographic ceiling","FR-2","D2","ACE-E014","Merunka et al. 2019 overall result; 1822 valid responses; 315 of 1766 below five-of-seven threshold","medium","direct_point_estimate_not_bound","No low or high confidence bound was reported in the registered evidence."
"EDGE-ISV-001","IL-ISV","constructed_bridge","CELL-ISV-RU-CYRL","Russian-literate cohort","exact territory pending","ru-Cyrl","Cyrl","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","Cyrl projection plausible but untested","unknown in current local coverage census","Kashubian Sorbian Rusyn and all untested minority leaves","Credit zero until an exact surface/script/cohort test; deduct any comfortable Russian edition before reach","FR-2","D2","ACE-E014;ACE-E015","Pooled Interslavic study and natural-language comparison only","low","inference_only","No pooled result is inherited."
"EDGE-ISV-002","IL-ISV","constructed_bridge","CELL-ISV-UK-CYRL","Ukrainian-literate cohort","exact territory pending","uk-Cyrl","Cyrl","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","Cyrl projection plausible but untested","unknown in current local coverage census","Untested Slavic leaves","Credit zero until exact testing and deduct any comfortable Ukrainian edition","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","No pooled result is inherited."
"EDGE-ISV-003","IL-ISV","constructed_bridge","CELL-ISV-BE-CYRL","Belarusian-literate cohort","exact territory pending","be-Cyrl","Cyrl","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","Cyrl projection plausible but untested","unknown","Untested Slavic leaves","Zero until exact testing; one person cannot be counted in both Latin and Cyrillic projection cells","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","No blanket East Slavic credit."
"EDGE-ISV-004","IL-ISV","constructed_bridge","CELL-ISV-PL-LATN","Polish-literate cohort","Poland and separately diaspora","pl-Latn","Latn","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","exact script match","unknown","Kashubian is not included","Zero until exact testing; deduct Polish and English comfortable access","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","No pooled result is inherited."
"EDGE-ISV-005","IL-ISV","constructed_bridge","CELL-ISV-CS-LATN","Czech-literate cohort","Czechia","cs-Latn","Latn","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","exact script match","unknown","No Slovak or other West-Slavic transfer credit","Zero until exact testing; deduct Czech and English comfortable access","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","Natural Czech-Slovak evidence does not establish Interslavic mathematics comprehension."
"EDGE-ISV-006","IL-ISV","constructed_bridge","CELL-ISV-SK-LATN","Slovak-literate cohort","Slovakia","sk-Latn","Latn","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","exact script match","unknown","No Czech or other West-Slavic transfer credit","Zero until exact testing; deduct Slovak and English comfortable access","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","No pooled result is inherited."
"EDGE-ISV-007","IL-ISV","constructed_bridge","CELL-ISV-SL-LATN","Slovene-literate cohort","Slovenia","sl-Latn","Latn","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","exact script match","unknown","No BCMS or other South-Slavic transfer credit","Zero until exact testing; deduct Slovene and English comfortable access","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","No pooled result is inherited."
"EDGE-ISV-008","IL-ISV","constructed_bridge","CELL-ISV-BS-LATN","Bosnian-standard cohort","Bosnia and Herzegovina","bs-Latn","Latn","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","exact script match","unknown","No unnamed BCMS population aggregation","Zero until exact testing and after any named BCMS edition","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","BCMS shared-core architecture is a competing intervention."
"EDGE-ISV-009","IL-ISV","constructed_bridge","CELL-ISV-HR-LATN","Croatian-standard cohort","Croatia","hr-Latn","Latn","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","exact script match","unknown","No unnamed BCMS population aggregation","Zero until exact testing and after any named BCMS edition","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","No pooled result is inherited."
"EDGE-ISV-010","IL-ISV","constructed_bridge","CELL-ISV-CNR-LATN","Montenegrin-standard cohort","Montenegro","cnr-Latn","Latn","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","exact script match","unknown","No unnamed BCMS population aggregation","Zero until exact testing and after any named BCMS edition","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","No pooled result is inherited."
"EDGE-ISV-011","IL-ISV","constructed_bridge","CELL-ISV-SR-LATN","Serbian Latin-script reading cell","Serbia","sr-Latn","Latn","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","exact script match","unknown","No additive credit with Serbian Cyrillic","Partition one Serbian population by observed script use; then deduct named Serbian access","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","Script projections are not independent languages."
"EDGE-ISV-012","IL-ISV","constructed_bridge","CELL-ISV-SR-CYRL","Serbian Cyrillic-script reading cell","Serbia","sr-Cyrl","Cyrl","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","exact script match to projection only","unknown","No additive credit with Serbian Latin","Partition one Serbian population by observed script use; then deduct named Serbian access","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","Do not double the population for dual literacy."
"EDGE-ISV-013","IL-ISV","constructed_bridge","CELL-ISV-BG-CYRL","Bulgarian-literate cohort","Bulgaria","bg-Cyrl","Cyrl","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","Cyrl projection plausible but untested","unknown","No Macedonian or other South-Slavic transfer credit","Zero until exact testing and overlap subtraction","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","No pooled result is inherited."
"EDGE-ISV-014","IL-ISV","constructed_bridge","CELL-ISV-MK-CYRL","Macedonian-literate cohort","North Macedonia","mk-Cyrl","Cyrl","cross_language_bridge","unknown","unknown","unknown","unknown for sustained mathematics","receptive","none at exact leaf level in current register","Cyrl projection plausible but untested","unknown","No Bulgarian or other South-Slavic transfer credit","Zero until exact testing and overlap subtraction","FR-2","D2","ACE-E014;ACE-E015","Pooled study only","low","inference_only","No pooled result is inherited."
"EDGE-ROM-000","IL-ROM","pluricentric_shared_core","CELL-ROM-CONSTRUCTED-HYP","Proposed constructed pan-Romance surface","no defensible pooled territory","art-romance-hypothesis","Latn","constructed_bridge_hypothesis","unknown","unknown","unknown","unknown","receptive","none","unknown","Spanish and Brazilian Portuguese complete locally","All named Romance languages absent exact testing","Constructed surface has zero coverage; design artifacts cannot claim demographic ceilings","FR-2","D2","ACE-E015;ACE-A010","Natural-pair study plus local provisional state","low","hypothesis_only","The local provisional surface has zero canon-admitted units."
"EDGE-ROM-001","IL-ROM","pluricentric_shared_core","CELL-ROM-ES","Spanish-standard cell","Spanish-language territories separately modeled","es","Latn","localized_native_output","unknown","unknown","unknown","none beyond literacy in the named standard","receptive","none required for own localized output","exact","complete local edition","Catalan Galician and other languages are not Spanish cells","Spanish output claims only exact Spanish residual cells and is subtracted before any bridge scenario","FR-2","D2","ACE-A010","Current local workflow state","medium","architecture_not_comprehension_claim","Shared semantic source saves compute."
