candidate_id,compute_low,compute_base,compute_high,factor_registry_version,formula_version,compute_measure_class,compute_unit,branch_id,canon_id,model_role,flores_code,script_code,evidence_status,benchmark_profile_id,tokenization_measurement_set_sha256,measurement_profile_registry_file_sha256,measurement_profile_set_hash,direct_measurement_row_hash,source_reference_tokens,target_ratio_low,target_ratio_base,target_ratio_high,target_expansion_E_base,target_fragmentation_P_base,target_codepoint_length_L_base,working_token_fragmentation_F_base,fit_low,fit_base,fit_high,fot_low,fot_base,fot_high,frt_low,frt_base,frt_high,terminology_entries_low,terminology_entries_base,terminology_entries_high,weighted_document_object_units_low,weighted_document_object_units_base,weighted_document_object_units_high,audio_program_minutes_low,audio_program_minutes_base,audio_program_minutes_high,caption_cues_low,caption_cues_base,caption_cues_high,signed_program_minutes_low,signed_program_minutes_base,signed_program_minutes_high
STD-ENV-025K-TEXT,192701.171694,393711.536995,1011087.189986,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,text,CANON-025K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,25000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,132393.477277,249929.181041,537728.533546,41557.694417,70532.355955,205108.65644,18750,73250,268250,25,100,300,87.5,416.25,1462.5,,,,,,,,,
STD-ENV-025K-ACCESSIBLE-PUBLICATION,197351.171694,419149.036995,1217087.189986,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,accessible_publication,CANON-025K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,25000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,135218.477277,262054.181041,604228.533546,42385.819417,76563.605955,259608.65644,19746.875,80531.25,353250,25,100,300,87.5,416.25,1462.5,,,,,,,,,
STD-ENV-025K-AUDIO,274437.48614,528481.973282,1342251.839346,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,audio,CANON-025K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,25000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,202847.196627,341214.222591,693485.192346,45819.917578,89039.364265,286337.31878,25770.371935,98228.386426,362429.32822,25,100,300,87.5,416.25,1462.5,117.12,248.069,615.157,,,,,,
STD-ENV-025K-CAPTIONS,209939.601531,523139.09932,1399607.166386,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,captions,CANON-025K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,25000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,141012.692196,293071.701816,667235.192346,46729.223368,113674.87673,334615.31524,22197.685968,116392.520775,397756.6588,25,100,300,87.5,416.25,1462.5,,,,2371,5393,15379,,,
STD-ENV-025K-NAMED-SIGN,261654.891044,566281.620095,1529113.825186,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,named_sign,CANON-025K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,25000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,159974.965017,314642.962203,731988.521746,65691.496189,135246.137117,399368.64464,35988.429837,116392.520775,397756.6588,25,100,300,87.5,416.25,1462.5,,,,,,,93.696,297.683,1107.282
STD-ENV-025K-COMPLETE-ACCESS,365279.635327,855917.118707,2454798.450946,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,complete_access,CANON-025K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,25000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,241872.899286,461195.524528,1083751.839346,75953.373301,202926.916202,664603.96578,47453.36274,191794.677976,706442.64582,25,100,300,87.5,416.25,1462.5,117.12,248.069,615.157,2371,5393,15379,93.696,297.683,1107.282
STD-ENV-100K-TEXT,770804.686774,1574846.147982,4044348.759945,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,text,CANON-100K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,100000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,529573.909108,999716.724163,2150914.134185,166230.777666,282129.423819,820434.62576,75000,293000,1073000,100,400,1200,350,1665,5850,,,,,,,,,
STD-ENV-100K-ACCESSIBLE-PUBLICATION,789404.686774,1676596.147982,4868348.759945,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,accessible_publication,CANON-100K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,100000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,540873.909108,1048216.724163,2416914.134185,169543.277666,306254.423819,1038434.62576,78987.5,322125,1413000,100,400,1200,350,1665,5850,,,,,,,,,
STD-ENV-100K-AUDIO,1097749.944558,2113927.893127,5369007.357385,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,audio,CANON-100K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,100000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,811388.786508,1364856.890363,2773940.769385,183279.67031,356157.457059,1145349.27512,103081.48774,392913.545705,1449717.31288,100,400,1200,350,1665,5850,468.48,992.278,2460.627,,,,,,
STD-ENV-100K-CAPTIONS,839758.406124,2092556.397282,5598428.665545,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,captions,CANON-100K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,100000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,564050.768783,1172286.807263,2668940.769385,186916.893471,454699.506919,1338461.26096,88790.74387,465570.0831,1591026.6352,100,400,1200,350,1665,5850,,,,9482,21572,61516,,,
STD-ENV-100K-NAMED-SIGN,1046619.564174,2265126.480382,6116455.300745,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,named_sign,CANON-100K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,100000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,639899.860068,1258571.848813,2927954.086985,262765.984756,540984.548469,1597474.57856,143953.71935,465570.0831,1591026.6352,100,400,1200,350,1665,5850,,,,,,,374.784,1190.734,4429.128
STD-ENV-100K-COMPLETE-ACCESS,1461118.541308,3423668.474827,9819193.803785,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,complete_access,CANON-100K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,100000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,967491.597143,1844782.098113,4335007.357385,303813.493205,811707.664809,2658415.86312,189813.45096,767178.711905,2825770.58328,100,400,1200,350,1665,5850,468.48,992.278,2460.627,9482,21572,61516,374.784,1190.734,4429.128
STD-ENV-400K-TEXT,3083218.747098,6299384.591927,16177395.03978,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,text,CANON-400K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,400000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,2118295.636434,3998866.896651,8603656.53674,664923.110664,1128517.695276,3281738.50304,300000,1172000,4292000,400,1600,4800,1400,6660,23400,,,,,,,,,
STD-ENV-400K-ACCESSIBLE-PUBLICATION,3157618.747098,6706384.591927,19473395.03978,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,accessible_publication,CANON-400K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,400000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,2163495.636434,4192866.896651,9667656.53674,678173.110664,1225017.695276,4153738.50304,315950,1288500,5652000,400,1600,4800,1400,6660,23400,,,,,,,,,
STD-ENV-400K-AUDIO,4390999.778234,8455711.572507,21476029.42954,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,audio,CANON-400K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,400000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,3245555.146034,5459427.561451,11095763.07754,733118.68124,1424629.828236,4581397.10048,412325.95096,1571654.18282,5798869.25152,400,1600,4800,1400,6660,23400,1873.919,3969.112,9842.506,,,,,,
STD-ENV-400K-CAPTIONS,3359033.624498,8370225.589127,22393714.66218,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,captions,CANON-400K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,400000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,2256203.075134,4689147.229051,10675763.07754,747667.573884,1818798.027676,5353845.04384,355162.97548,1862280.3324,6364106.5408,400,1600,4800,1400,6660,23400,,,,37925,86286,246063,,,
STD-ENV-400K-NAMED-SIGN,4186478.256698,9060505.921527,24465821.20298,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,named_sign,CANON-400K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,400000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,2559599.440274,5034287.395251,11711816.34794,1051063.939024,2163938.193876,6389898.31424,575814.8774,1862280.3324,6364106.5408,400,1600,4800,1400,6660,23400,,,,,,,1499.135,4762.934,17716.511
STD-ENV-400K-COMPLETE-ACCESS,5844474.165234,13694673.899307,39276775.21514,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,complete_access,CANON-400K,sensitivity_common_envelope,COMMON-ENVELOPE,MULTI,COMMON_ENVELOPE_SENSITIVITY_ONLY,,,,,,400000,1.379074387,1.725700831,2.590133176,4.25601501,0.405473389,1.009676735,1.709161726,3869966.388574,7379128.392451,17340029.42954,1215253.97282,3246830.659236,10633663.45248,759253.80384,3068714.84762,11303082.33312,400,1600,4800,1400,6660,23400,1873.919,3969.112,9842.506,37925,86286,246063,1499.135,4762.934,17716.511
STD-MF-ace_Arab-025K-TEXT,273994.751754,495495.631275,1040333.087426,standard-compute-closed-registry-2026-09-01-v2,standard-fecu-sum/2.0.0,fresh_input_output_reasoning_token_events_v2,fresh_equivalent_token_events,text,CANON-025K,primary_measured_feature,ace_Arab,Arab,MEASURED_COMMON_BENCHMARK,flores:ace_Arab,6ae11eae5bfb61e237feeb8b8664277b7462e5ba08b34e6e35df1c072b22c2ae,a86e880433c3a00055d39702f117dc85bae2b8b59ecaaf906469154b230467c2,9ad14b90ecdd1c3d6b6138bd902ff691b1d70586338710e568e29257a5dd1b01,e9a20b67ac3644d9b1167c06743db42640d622bac284fbfe886c6aedca91b8c1,25000,2.376541627,2.586454271,2.752610384,3.772937974,0.685527907,0.845967901,3.057390557,184261.773757,319650.209681,556413.412466,70982.977996,102595.421595,215669.67496,18750,73250,268250,25,100,300,87.5,416.25,1462.5,,,,,,,,,
