authorization_id,authorization_status,authorization_tier,reason,edition_target_id,canonical_language_target_id,regional_stratum_id,evidence_identity_id,source_lane,source_record_id,evidence_role,measure_class,population_unit,population_low_persons,population_base_persons,population_high_persons,population_bound_type,normalized_population_low_persons,normalized_population_high_persons,population_definition,reference_year,territory,script_or_mode,source_ids,source_urls,source_locators,source_registry_row_hashes,target_binding,population_rankability_status,rank_eligibility_source_label,additivity_class,overlap_group,target_exactness,target_row_sha256,evidence_row_sha256,source_evidence_row_sha256,local_work_exclusion,synthetic_or_model_prior
auth:canonical:canonical:pop:0006fc3c2360f33c129c35cd,EXCLUDE,none,target identity is unresolved/macro/context,edition-target:lang:unresolved-tag:tharu-census-category:nepal-tharu-communities,lang:unresolved-tag:tharu-census-category:nepal-tharu-communities,,canonical:pop:0006fc3c2360f33c129c35cd,legacy_canonical_population,pop:0006fc3c2360f33c129c35cd,language_population_or_context,macro_l1,persons_L1,1714091,1714091,1714091,POINT,1714091,1714091,Census mother-tongue category; internal variety and script split unavailable,2021,,,NPL_LANG_2021,https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf,,CD87291B81AF1ED1EA603E7E87B546F1AFE4B99280BA8CF67C8C8EA7E93F37B3,CONTEXT_NO_INHERITANCE,INSUFFICIENT_PUBLIC_EVIDENCE,context_only:split_required,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,exact_name_identifier_unresolved,0ff231efe40692bdf091761e421c4c9f686e159d554dc3d38855e3a4135672f9,d6e015ed54cebdf76facb882a21a2abcb7f374591c2e053304e3262c0d397aab,50342642e46665f34a1155ee7cff8fbf75f3927fa53f168308331f3af5931738,true,false
auth:canonical:canonical:pop:00fa6825d0212d4eeb8f73cd,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,edition-target:lang:ms-Arab-MY,lang:ms-Arab-MY,,canonical:pop:00fa6825d0212d4eeb8f73cd,legacy_canonical_population,pop:00fa6825d0212d4eeb8f73cd,language_population_or_context,ethnicity_or_identity_proxy,persons_ethnicity_proxy_range_nonadditive,17600000,,18500000,INTERVAL,17600000,18500000,Same proxy range as Rumi row; non-additive script-access edition.,,,,MYS_DOSM_POP,https://open.dosm.gov.my/data-catalogue/population_malaysia,,C5C0B4D958D7247CE47B2C23BE6D823A291F283C2D5EC953F5927A272D7AB88F,CONTEXT_NO_INHERITANCE,INSUFFICIENT_PUBLIC_EVIDENCE,context_only:missing_reference_year_partial_identification,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,exact,890bbaa9391626b6cec5bb6485652271600e5d36cbb3b5e9894fbcad846f2fe0,1ba280c811b523a5af179910e45d130325166523d581feb1bac885025d71153c,b7dda8ca69726be644fb1acc814d6d8a16a5ef9071d6fca6aaced54f91522005,true,false
auth:canonical:canonical:pop:01315a880f1036004da81749,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,edition-target:lang:zh-Hans-CN,lang:zh-Hans-CN,,canonical:pop:01315a880f1036004da81749,legacy_canonical_population,pop:01315a880f1036004da81749,language_population_or_context,enrolment,persons,,,,NONE,,,Master's and doctoral students enrolled in 2025,2025,,,SRC_MOE_EDU_2025,https://www.moe.gov.cn/jyb_sjzl/sjzl_fztjgb/202607/t20260706_1442870.html,,B52E80E9543F76C3C5AA1E0D34BB3BACB35E3EE16BE5FF34A767A525F9D11E45,CONTEXT_NO_INHERITANCE,INSUFFICIENT_PUBLIC_EVIDENCE,context_only:access_overlay_proxy_or_context,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,exact,ebf7a8a5842a639dcf258b08d2a71d1079cda1aa6b0e99880175e05f38426ead,658e81b753f26d667a51204b37f029b24ea97749b12e386b8ecb308e3fc6498e,782f5d07afad891e47acee8910c19ac77cc3606144f60c0702208c1ac8cf0274,true,false
auth:canonical:canonical:pop:01627a2b4bbb684f46bf933a,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,edition-target:lang:raj-Deva-IN,lang:raj-Deva-IN,,canonical:pop:01627a2b4bbb684f46bf933a,legacy_canonical_population,pop:01627a2b4bbb684f46bf933a,language_population_or_context,macro_l1,persons_L1,25806344,25806344,25806344,POINT,25806344,25806344,Mother-tongue return inside Hindi umbrella; internal variety split and overlap uncertain,2011,,,IND_C16_2011,https://censusindia.gov.in/nada/index.php/catalog/10191,,EC2BDF734B61061AABB368111F19C6FD09AB026FE6C42FB466BEF1DA45D722C6,CONTEXT_NO_INHERITANCE,INSUFFICIENT_PUBLIC_EVIDENCE,context_only:split_required,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,exact,1088b34f3c2b737015920944e29106a379bfe18f3c57592e63d768ca8fcef9f6,7323fdf8f47683e06b788a0f3f653db22e5ff36420ab1dbb31a965e0dc8a900e,d6fa5ffb3bd2c84d30cc220a7cb747bef856271e906a16b9de30ccf8db32ba7c,true,false
auth:canonical:canonical:pop:022c5db3543e69d7ed7c95eb,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,edition-target:lang:id-Latn-ID,lang:id-Latn-ID,,canonical:pop:022c5db3543e69d7ed7c95eb,legacy_canonical_population,pop:022c5db3543e69d7ed7c95eb,stage_opportunity,workforce_cohort,million employed persons,,42600000,,POINT,42600000,42600000,"People employed in agriculture, forestry and fishing in May 2026; published rounded estimate.",2026-05,,,BPS_LABOUR_MAY_2026,https://www.bps.go.id/en/pressrelease/2026/08/05/2606/tingkat-pengangguran-terbuka--tpt--sebesar-4-65-persen---rata-rata-upah-buruh-sebesar-3-39-juta-rupiah-.html,,E51177C4F56A09E89CA3B52BDDF6749E052B7F32F0C6ABA79A37A5EE085691A2,CONTEXT_NO_INHERITANCE,INSUFFICIENT_PUBLIC_EVIDENCE,context_only:measure_class_workforce_cohort,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,exact,5c96ef25091ed52e18c4832379722db06e41de8a113bb546c85e8cb5ad8e77c3,890e26ea658870b1904ddfbc647416930508a4663230369d802758f8a45b78cd,2119399861632d9117199ab8c216d46d446ca134a1d9d62d33d540f137cb9532,true,false
auth:canonical:canonical:pop:023ca1bc8561beb2e8fa088a,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,edition-target:lang:pt-Latn-001,lang:pt-Latn-001,,canonical:pop:023ca1bc8561beb2e8fa088a,legacy_canonical_population,pop:023ca1bc8561beb2e8fa088a,language_population_or_context,macro_speaker_estimate,people,265000000,265000000,265000000,POINT,265000000,265000000,Institutional worldwide speaker estimate.,2026,,,SRC_UN_PORTUGUESE_2026,https://www.un.org/sg/en/content/sg/statements/2026-05-05/secretary-generals-message-world-portuguese-language-day,,ACE7E02772D61E0CFD5A5A5F21AD0F27CBD9BC48B61839D04937DCA139B3A836,CONTEXT_NO_INHERITANCE,INSUFFICIENT_PUBLIC_EVIDENCE,context_only:split_required,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,exact,fa73491b8b07f3c66f18129d9f9f44955eecd75ac56771b26c2dc001b0d79402,fe38c11b484ed32d6e16d11549c5aae51a0efe140837b50e0103091398e07698,e39a960138ff69176b213db49a2330878be4078151ad8cec0c1c6caa97d1c93e,true,false
auth:canonical:canonical:pop:02a99eee802df38698abee2d,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,edition-target:lang:kos-Latn-FM,lang:kos-Latn-FM,,canonical:pop:02a99eee802df38698abee2d,legacy_canonical_population,pop:02a99eee802df38698abee2d,language_population_or_context,home_or_first_language,persons_age5plus_home_language,4566,4566,4566,POINT,4566,4566,People aged 5+ reporting the named home language,2023,,,OIO_EA133B14931A,https://www.pacificweb.org/library/preview.php?file=fsm/states/2023FSMMunicipality.xlsx,,581B729BAD4DC52E4F607C06D9DD508B7904B213E0F5C4C829E2F1881ECC59FF,DIRECT_TARGET_ONLY,POINT_DISTRIBUTION,eligible_direct_typed_measure,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,exact,0053d13a0ef57efc1f414b9d84872c6291f8ae28c1b5ed8bd09ad2b79c1ba0fe,f10009060b006b03ae480b5a85d3e75787e8f45bec69a7fcb6193d700199a8e6,beb2e713f6f1204baa5eaceea1bbb5fa481e67df77280580462fade11f563633,true,false
auth:canonical:canonical:pop:02c4cac428d92de70bae2606,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,edition-target:lang:tzo-MX,lang:tzo-MX,,canonical:pop:02c4cac428d92de70bae2606,legacy_canonical_population,pop:02c4cac428d92de70bae2606,language_population_or_context,speaker_or_reported_ability,persons_age3plus_language_speakers,,550274,,POINT,550274,550274,People age 3+ reported Tsotsil.,2020,,,SRC_AMAR_MEX_INEGI_2020,https://www.inegi.org.mx/contenidos/programas/ccpv/2020/doc/Censo2020_Principales_resultados_EUM.pdf,,A33A11D9FFC09CABAF9900A0F8AC0C42ADFE2028767AC6406421DC16F59D248D,DIRECT_TARGET_ONLY,POINT_DISTRIBUTION,eligible_direct_typed_measure,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,exact,16bd7ca20c2f0cf5805a55c0d4706ea96c1cd2bab3e3f61b03649a17ad08e473,be717036a720e48d354bf107d181be6804f213a356e3075dbf2f3aaa78955f75,c7d9e998de2610570536ba238ec34b8db5510d014c47177ced61b9208107bccf,true,false
auth:canonical:canonical:pop:0319e0c2dcfc2a946200d997,EXCLUDE,none,target binding is CONTEXT_NO_INHERITANCE,edition-target:lang:oji-CA,lang:oji-CA,,canonical:pop:0319e0c2dcfc2a946200d997,legacy_canonical_population,pop:0319e0c2dcfc2a946200d997,language_population_or_context,speaker_or_reported_ability,persons_2021_language_knowledge,,20715,,POINT,20715,20715,"People reporting knowledge of Ojibway, not otherwise specified; mother-tongue count 12500. Counts randomly rounded.",2021,,,SRC_AMAR_CAN_ALGONQ_2021,https://www150.statcan.gc.ca/n1/pub/41-20-0002/412000022025002-eng.htm,,87059F4EDC74D23ECD58E875C042C0C4F79A898243CB5071FA01A64292112D60,CONTEXT_NO_INHERITANCE,INSUFFICIENT_PUBLIC_EVIDENCE,context_only:source_row_unranked,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,exact,9f42e50f9fd6bff087281efc2e68ef61908baba78636d52ff0dd390374e1cd57,407259d93546f48f9cf055e905f383bfaa9af821ecb9f88396bd9c0818509e68,51c1856f909f11a8a62b8ab8cacc978429791ca36b6a847d77150a31d6d3a900,true,false
auth:canonical:canonical:pop:034692087acb25c6eafbc401,ADMIT,A_DIRECT_TYPED_PERSON,exact target + direct typed person measure + source-resolved evidence,edition-target:lang:mag-Deva-NP,lang:mag-Deva-NP,,canonical:pop:034692087acb25c6eafbc401,legacy_canonical_population,pop:034692087acb25c6eafbc401,language_population_or_context,l1,persons_L1,230117,230117,230117,POINT,230117,230117,Census mother-tongue count,2021,,,NPL_LANG_2021,https://censusnepal.cbs.gov.np/results/files/result-folder/Language%20in%20Nepal.pdf,,CD87291B81AF1ED1EA603E7E87B546F1AFE4B99280BA8CF67C8C8EA7E93F37B3,DIRECT_TARGET_ONLY,POINT_DISTRIBUTION,eligible_direct_typed_measure,non_additive; never sum with another measure or measure class without a proved disjoint-person crosswalk,,exact,6c9b491cdbaf379eebca3cac61ca161ba58cbfecf00ab899ed9583a286af6726,081be0724531b1548014a3492e5463c512e4e8d5ac2cedb7bce17e0679f8faf7,d9d7ae7f04a07244ca14e68f259c257be4fec224ca89dd25179aa1c258359473,true,false
