edition_target_id,edition_key,edition_role,edition_derivation_class,label,language_tag,script,mode,territory_community,country_iso3,population_low,population_base,population_high,population_point_for_model,population_basis_class,order_lane,population_rank_eligible,primary_order_eligible,primary_order_class,primary_order_exclusion_reason,population_source_id,population_source_url,population_definition,population_reference_year,population_confidence,population_atom_id,population_evidence_count,authorization_id,authorization_ids,authorization_status,authorization_tier,evidence_identity_id,source_lane,source_record_id,evidence_role,target_row_sha256,evidence_row_sha256,source_evidence_row_sha256,source_registry_row_hashes,local_work_exclusion,synthetic_or_model_prior,bounds_source_complete,bounds_were_imputed,population_bound_type,source_population_low_persons,source_population_base_persons,source_population_high_persons,normalized_population_low_persons,normalized_population_high_persons,schooling_language_gap,learning_completion_gap,open_resource_scarcity,academic_lingua_franca_nonoverlap,delivery_gap,accessibility_gap,need_index,need_index_low,need_index_high,intrinsic_need_low,intrinsic_need_model,intrinsic_need_high,standard_compute_p50_fecu,compute_evidence_class,need_evidence_basis,vitality_marginalization_status,dialect_risk_status,production_feasibility_status,model_conditioning_status,registry_row_hash,l_m_need_p05,l_m_need_median,l_m_need_mean,l_m_need_p95,l_m_efficiency_p05,l_m_efficiency_median,l_m_efficiency_mean,l_m_efficiency_p95,draw_count,l_id_possible_rank_best,l_id_possible_rank_worst,l_id_top10_status,l_id_top100_status,l_m_need_rank,l_m_need_top10_probability,l_m_need_top100_probability,l_m_efficiency_rank
edition-target:lang:aa-Latn-ET,lang:aa-Latn-ET,canonical_language_edition,exact,Afar,aa-Latn-ET,Latn,written_or_multimodal,Ethiopia,ETH,0.000000,,7130107.947368,3565053.973684,MODEL_CONDITIONAL_TERRITORIAL_CEILING,unranked_context,false,false,LANGUAGE_OR_EXACT_INTERVENTION,UNRANKED_NO_SOURCE_BOUND_PERSON_DENOMINATOR,MODEL_PRIOR_COUNTRY_CEILING,,Common territorial/world ceiling prior; no language-user denominator was available.,2025,model-conditional-wide,territory:ETH,0,,,,,,,,,,,,,,true,false,false,NONE,,,,,,0.40000000,0.65497641,0.50000000,0.40000000,0.60729350,0.50000000,0.50601637,0.18601637,0.82601637,,,,1000000.000000,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,"{""academic_lingua_franca_nonoverlap"": ""academic-language overlap unmeasured; common prior"", ""accessibility_gap"": ""common format-access prior"", ""delivery_gap"": ""ECOLOGICAL_COUNTRY_CONTEXT_PROXY: mean of country internet/electricity indicators; not language/device cross-tab"", ""learning_completion_gap"": ""ECOLOGICAL_COUNTRY_CONTEXT_PROXY: mean of available country indicators; not target-stage cross-tab"", ""open_resource_scarcity"": ""OER route unresolved; common prior"", ""schooling_language_gap"": ""UNESCO/World-Bank global alignment prior""}",SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,L-M_COMMON_PRIOR; not an observed comfortable-reader count,d0f73203b34540db0923aefd7d20787bb0020a29651c7139932a6a3796a84c24,,,,,,,,,0,,,UNRANKED_PRIMARY_ORDER_GATE,UNRANKED_PRIMARY_ORDER_GATE,,,,
edition-target:lang:ace-Latn-ID,lang:ace-Latn-ID,canonical_language_edition,exact,Acehnese,ace-Latn-ID,Latn,written_or_multimodal,"Aceh, Indonesia / Acehnese communities",IDN,0.000000,,17857577.250000,8928788.625000,MODEL_CONDITIONAL_TERRITORIAL_CEILING,unranked_context,false,false,LANGUAGE_OR_EXACT_INTERVENTION,UNRANKED_NO_SOURCE_BOUND_PERSON_DENOMINATOR,MODEL_PRIOR_COUNTRY_CEILING,,Common territorial/world ceiling prior; no language-user denominator was available.,2025,model-conditional-wide,territory:IDN,0,,,,,,,,,,,,,,true,false,false,NONE,,,,,,0.40000000,0.25060551,0.50000000,0.40000000,0.13659622,0.50000000,0.35924457,0.03924457,0.67924457,,,,1000000.000000,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,"{""academic_lingua_franca_nonoverlap"": ""academic-language overlap unmeasured; common prior"", ""accessibility_gap"": ""common format-access prior"", ""delivery_gap"": ""ECOLOGICAL_COUNTRY_CONTEXT_PROXY: mean of country internet/electricity indicators; not language/device cross-tab"", ""learning_completion_gap"": ""ECOLOGICAL_COUNTRY_CONTEXT_PROXY: mean of available country indicators; not target-stage cross-tab"", ""open_resource_scarcity"": ""OER route unresolved; common prior"", ""schooling_language_gap"": ""UNESCO/World-Bank global alignment prior""}",SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,L-M_COMMON_PRIOR; not an observed comfortable-reader count,a646d0247e88cbafa701d26b0f61a38fb332922a2ac95fd1d8ae52316d5b93ea,,,,,,,,,0,,,UNRANKED_PRIMARY_ORDER_GATE,UNRANKED_PRIMARY_ORDER_GATE,,,,
edition-target:lang:acf-DM,lang:acf-DM,canonical_language_edition,exact,Dominican Kwéyòl,acf-DM,Latn,written_or_multimodal,Dominica,DMA,0.000000,,8200000000.000000,4100000000.000000,MODEL_CONDITIONAL_WORLD_CEILING,unranked_context,false,false,LANGUAGE_OR_EXACT_INTERVENTION,UNRANKED_NO_SOURCE_BOUND_PERSON_DENOMINATOR,MODEL_PRIOR_COUNTRY_CEILING,,Common territorial/world ceiling prior; no language-user denominator was available.,2025,model-conditional-wide,world:unresolved-territory,0,,,,,,,,,,,,,,true,false,false,NONE,,,,,,0.40000000,0.35000000,0.50000000,0.40000000,0.50000000,0.50000000,0.43000000,0.11000000,0.75000000,,,,1000000.000000,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,"{""academic_lingua_franca_nonoverlap"": ""academic-language overlap unmeasured; common prior"", ""accessibility_gap"": ""common format-access prior"", ""delivery_gap"": ""common prior"", ""learning_completion_gap"": ""common prior"", ""open_resource_scarcity"": ""OER route unresolved; common prior"", ""schooling_language_gap"": ""UNESCO/World-Bank global alignment prior""}",SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,L-M_COMMON_PRIOR; not an observed comfortable-reader count,b8d76400173c024305352b846493a3d935aa1569f94e0d963b600f06b2650ef0,,,,,,,,,0,,,UNRANKED_PRIMARY_ORDER_GATE,UNRANKED_PRIMARY_ORDER_GATE,,,,
edition-target:lang:acf-LC,lang:acf-LC,canonical_language_edition,exact,Saint Lucian Kwéyòl,acf-LC,Latn,written_or_multimodal,Saint Lucia,LCA,0.000000,,8200000000.000000,4100000000.000000,MODEL_CONDITIONAL_WORLD_CEILING,unranked_context,false,false,LANGUAGE_OR_EXACT_INTERVENTION,UNRANKED_NO_SOURCE_BOUND_PERSON_DENOMINATOR,MODEL_PRIOR_COUNTRY_CEILING,,Common territorial/world ceiling prior; no language-user denominator was available.,2025,model-conditional-wide,world:unresolved-territory,0,,,,,,,,,,,,,,true,false,false,NONE,,,,,,0.40000000,0.35000000,0.50000000,0.40000000,0.50000000,0.50000000,0.43000000,0.11000000,0.75000000,,,,1000000.000000,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,"{""academic_lingua_franca_nonoverlap"": ""academic-language overlap unmeasured; common prior"", ""accessibility_gap"": ""common format-access prior"", ""delivery_gap"": ""common prior"", ""learning_completion_gap"": ""common prior"", ""open_resource_scarcity"": ""OER route unresolved; common prior"", ""schooling_language_gap"": ""UNESCO/World-Bank global alignment prior""}",SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,L-M_COMMON_PRIOR; not an observed comfortable-reader count,7647afc45a5523b600e9ffe45db014fe79234da84b6a10edf3ac50c56a6e64f5,,,,,,,,,0,,,UNRANKED_PRIMARY_ORDER_GATE,UNRANKED_PRIMARY_ORDER_GATE,,,,
edition-target:lang:ach-Latn-UG,lang:ach-Latn-UG,canonical_language_edition,exact,Acholi,ach-Latn-UG,Latn,written_or_multimodal,Uganda,UGA,0.000000,,6423111.750000,3211555.875000,MODEL_CONDITIONAL_TERRITORIAL_CEILING,unranked_context,false,false,LANGUAGE_OR_EXACT_INTERVENTION,UNRANKED_NO_SOURCE_BOUND_PERSON_DENOMINATOR,MODEL_PRIOR_COUNTRY_CEILING,,Common territorial/world ceiling prior; no language-user denominator was available.,2025,model-conditional-wide,territory:UGA,0,,,,,,,,,,,,,,true,false,false,NONE,,,,,,0.40000000,0.66943528,0.50000000,0.40000000,0.67875084,0.50000000,0.51891217,0.19891217,0.83891217,,,,1000000.000000,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,"{""academic_lingua_franca_nonoverlap"": ""academic-language overlap unmeasured; common prior"", ""accessibility_gap"": ""common format-access prior"", ""delivery_gap"": ""ECOLOGICAL_COUNTRY_CONTEXT_PROXY: mean of country internet/electricity indicators; not language/device cross-tab"", ""learning_completion_gap"": ""ECOLOGICAL_COUNTRY_CONTEXT_PROXY: mean of available country indicators; not target-stage cross-tab"", ""open_resource_scarcity"": ""OER route unresolved; common prior"", ""schooling_language_gap"": ""UNESCO/World-Bank global alignment prior""}",SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,L-M_COMMON_PRIOR; not an observed comfortable-reader count,a70659cfb7f3840906d0d174b5d2af1717c95fcfdfa0651140443c1ef3e65dc1,,,,,,,,,0,,,UNRANKED_PRIMARY_ORDER_GATE,UNRANKED_PRIMARY_ORDER_GATE,,,,
edition-target:lang:acm-Arab-IQ,lang:acm-Arab-IQ,canonical_language_edition,exact,Mesopotamian Arabic — Iraq target,acm-Arab-IQ,Arab,written_or_multimodal,Iraq,IRQ,0.000000,,4100000000.000000,2050000000.000000,MODEL_CONDITIONAL_WORLD_CEILING,unranked_context,false,false,LANGUAGE_OR_EXACT_INTERVENTION,UNRANKED_NO_SOURCE_BOUND_PERSON_DENOMINATOR,MODEL_PRIOR_COUNTRY_CEILING,,Common territorial/world ceiling prior; no language-user denominator was available.,2025,model-conditional-wide,world:unresolved-territory,0,,,,,,,,,,,,,,true,false,false,NONE,,,,,,0.40000000,0.35000000,0.50000000,0.40000000,0.50000000,0.50000000,0.43000000,0.11000000,0.75000000,,,,1140000.000000,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,"{""academic_lingua_franca_nonoverlap"": ""academic-language overlap unmeasured; common prior"", ""accessibility_gap"": ""common format-access prior"", ""delivery_gap"": ""common prior"", ""learning_completion_gap"": ""common prior"", ""open_resource_scarcity"": ""OER route unresolved; common prior"", ""schooling_language_gap"": ""UNESCO/World-Bank global alignment prior""}",SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,L-M_COMMON_PRIOR; not an observed comfortable-reader count,12150bad937fa8881f7d0e40acc97910eab78ce731ea821bca59fd03a5f28dd1,,,,,,,,,0,,,UNRANKED_PRIMARY_ORDER_GATE,UNRANKED_PRIMARY_ORDER_GATE,,,,
edition-target:lang:acq-Arab-YE,lang:acq-Arab-YE,canonical_language_edition,exact,Ta'izzi-Adeni Arabic — Yemen,acq-Arab-YE,Arab,written_or_multimodal,Yemen,YEM,0.000000,,4100000000.000000,2050000000.000000,MODEL_CONDITIONAL_WORLD_CEILING,unranked_context,false,false,LANGUAGE_OR_EXACT_INTERVENTION,UNRANKED_NO_SOURCE_BOUND_PERSON_DENOMINATOR,MODEL_PRIOR_COUNTRY_CEILING,,Common territorial/world ceiling prior; no language-user denominator was available.,2025,model-conditional-wide,world:unresolved-territory,0,,,,,,,,,,,,,,true,false,false,NONE,,,,,,0.40000000,0.35000000,0.50000000,0.40000000,0.50000000,0.50000000,0.43000000,0.11000000,0.75000000,,,,1140000.000000,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,"{""academic_lingua_franca_nonoverlap"": ""academic-language overlap unmeasured; common prior"", ""accessibility_gap"": ""common format-access prior"", ""delivery_gap"": ""common prior"", ""learning_completion_gap"": ""common prior"", ""open_resource_scarcity"": ""OER route unresolved; common prior"", ""schooling_language_gap"": ""UNESCO/World-Bank global alignment prior""}",SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,L-M_COMMON_PRIOR; not an observed comfortable-reader count,efd58909cb2c711441f4f1a52a66e46d1d5ee6e1a26ec3d54dbea6d3228e51da,,,,,,,,,0,,,UNRANKED_PRIMARY_ORDER_GATE,UNRANKED_PRIMARY_ORDER_GATE,,,,
edition-target:lang:acr-GT,lang:acr-GT,canonical_language_edition,exact,Achi,acr-GT,Latn,written_or_multimodal,Guatemala / ALMG language communities,GTM,124338.000000,124338.000000,124338.000000,124338.000000,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,true,true,LANGUAGE_OR_EXACT_INTERVENTION,,SRC_AMAR_GTM_INE_2018,https://censo2018.ine.gob.gt/archivos/resultados_censo2018.pdf,People age 4+ reporting Achi as mother tongue.,2018,A_DIRECT_TYPED_PERSON,auth:canonical:canonical:pop:2a8065ee99c2977b6ca489e4,2,auth:canonical:canonical:pop:2a8065ee99c2977b6ca489e4,auth:canonical:canonical:pop:2a8065ee99c2977b6ca489e4;auth:regional:AMERICAS_EUROPE_EMPIRICAL_NEED_INPUTS:acr-Latn-GT,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:2a8065ee99c2977b6ca489e4,legacy_canonical_population,pop:2a8065ee99c2977b6ca489e4,language_population_or_context,cdc7b827d62ca148a397615b62180910d284457697d938cfc8dc15d42a2520b0,85d4ce031409fdee0f21ccb47b4e86f04d5f1e9d0655f850c9a24462f863baa1,e8898ec41169dd738798cc9b7e6bfe097c576256b1c597fdbec1659f942cc26e,4C646DEC532104F47E31C744EDC13A0E85B3FB2C4FBE2C8C0258AC44CD2B7790,true,false,true,false,POINT,,124338,,124338,124338,0.40000000,0.35000000,0.50000000,0.40000000,0.50000000,0.50000000,0.43000000,0.11000000,0.75000000,13677.180000,53465.340000,93253.500000,1000000.000000,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,"{""academic_lingua_franca_nonoverlap"": ""academic-language overlap unmeasured; common prior"", ""accessibility_gap"": ""common format-access prior"", ""delivery_gap"": ""common prior"", ""learning_completion_gap"": ""common prior"", ""open_resource_scarcity"": ""unresolved OER route; common prior"", ""schooling_language_gap"": ""UNESCO/World-Bank global alignment prior""}",SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,L-M_COMMON_PRIOR; not an observed comfortable-reader count,cdc7b827d62ca148a397615b62180910d284457697d938cfc8dc15d42a2520b0,38665.232307,52960.511395,52861.431070,65820.636411,0.038665232307,0.052960511395,0.052861431070,0.065820636411,256,71,136,OUTSIDE,POSSIBLE,94,0.000000,0.906250,94
edition-target:lang:acu-EC,lang:acu-EC,canonical_language_edition,exact,Achuar Chicham,acu-EC,Latn,written_or_multimodal,Ecuador / Achuar Chicham communities,ECU,9162.000000,9162.000000,9162.000000,9162.000000,DIRECT_OR_DERIVED_PERSON_MEASURE,person_need,true,true,LANGUAGE_OR_EXACT_INTERVENTION,,SRC_AMAR_ECU_PLAN_2024,https://www.secretariapueblosynacionalidades.gob.ec/wp-content/uploads/2024/07/EPF-Sintesis-de-plan-decenal-correccion3-final-18-junio-2024.pdf,"Speakers; associated population 12,703.",2022,A_DIRECT_TYPED_PERSON,auth:canonical:canonical:pop:d9df54cbed975c611524c858,1,auth:canonical:canonical:pop:d9df54cbed975c611524c858,auth:canonical:canonical:pop:d9df54cbed975c611524c858,ADMIT,A_DIRECT_TYPED_PERSON,canonical:pop:d9df54cbed975c611524c858,legacy_canonical_population,pop:d9df54cbed975c611524c858,language_population_or_context,4febfedd68c8a3cbfe092ced92f445431e2a01588205e9fdba0ae53c8f36579f,62e58d42ff212fbf357945cdc72cae3838fb22d185dd7d70c135512a37efbe30,73ffa48e30503920f4cc34a69e5333edfb1df5b30c684a25ba30767c966ca491,592E172A4F6A546EBFA54AD4584DF54D56DA4B5378BED2B84422830F972895FB,true,false,true,false,POINT,,9162,,9162,9162,0.40000000,0.35000000,0.50000000,0.40000000,0.50000000,0.50000000,0.43000000,0.11000000,0.75000000,1007.820000,3939.660000,6871.500000,1000000.000000,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,"{""academic_lingua_franca_nonoverlap"": ""academic-language overlap unmeasured; common prior"", ""accessibility_gap"": ""common format-access prior"", ""delivery_gap"": ""common prior"", ""learning_completion_gap"": ""common prior"", ""open_resource_scarcity"": ""unresolved OER route; common prior"", ""schooling_language_gap"": ""UNESCO/World-Bank global alignment prior""}",SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,L-M_COMMON_PRIOR; not an observed comfortable-reader count,4febfedd68c8a3cbfe092ced92f445431e2a01588205e9fdba0ae53c8f36579f,2947.354589,3896.187275,3892.650033,4908.802921,0.002947354589,0.003896187275,0.003892650033,0.004908802921,256,100,190,OUTSIDE,POSSIBLE,155,0.000000,0.000000,153
edition-target:lang:acw-Arab-SA,lang:acw-Arab-SA,canonical_language_edition,exact,Hijazi Arabic — Saudi Arabia,acw-Arab-SA,Arab,written_or_multimodal,Saudi Arabia,SAU,0.000000,,4100000000.000000,2050000000.000000,MODEL_CONDITIONAL_WORLD_CEILING,unranked_context,false,false,LANGUAGE_OR_EXACT_INTERVENTION,UNRANKED_NO_SOURCE_BOUND_PERSON_DENOMINATOR,MODEL_PRIOR_COUNTRY_CEILING,,Common territorial/world ceiling prior; no language-user denominator was available.,2025,model-conditional-wide,world:unresolved-territory,0,,,,,,,,,,,,,,true,false,false,NONE,,,,,,0.40000000,0.35000000,0.50000000,0.40000000,0.50000000,0.50000000,0.43000000,0.11000000,0.75000000,,,,1140000.000000,MODEL_CONDITIONAL_SCRIPT_ENVELOPE,"{""academic_lingua_franca_nonoverlap"": ""academic-language overlap unmeasured; common prior"", ""accessibility_gap"": ""common format-access prior"", ""delivery_gap"": ""common prior"", ""learning_completion_gap"": ""common prior"", ""open_resource_scarcity"": ""OER route unresolved; common prior"", ""schooling_language_gap"": ""UNESCO/World-Bank global alignment prior""}",SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,SEPARATE_DESCRIPTIVE_FIELD_NOT_IN_PRIMARY_SCORE,L-M_COMMON_PRIOR; not an observed comfortable-reader count,0b296952ae335f27980b3ebc4908615580d6ba8e3947eec7fcb1e257e9259e58,,,,,,,,,0,,,UNRANKED_PRIMARY_ORDER_GATE,UNRANKED_PRIMARY_ORDER_GATE,,,,
