needs_id,intervention_id,target_name,target_profile,territory,population_ceiling,evidence_stage,observed_need,evidence_year,evidence_source,evidence_scope,known_supply,binding_marginal_gap,first_useful_open_package,follow_on_package,openstax_openlogic_mapping,delivery_spec,observed_need_confidence,package_inference_confidence,caveat
NEED-001,NAT-121,Bahasa Indonesia,id-Latn-ID,Indonesia,248501794,secondary,"PISA: 18% of represented 15-year-old students reached mathematics Level 2 or higher; almost none reached Levels 5-6",2022,https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/indonesia_c2e1ae0e-en.html,"13,439 students in 410 schools; 85% of the total age cohort represented","Established Indonesian mathematics program; Open Logic is complete at 722/722. At the pinned public boundary, 27/40 roles are published and 13/40 are in production. The central ledger records 19,745 teaching-package pages, 20,763 selected-corpus working pages, and a 27,705-page rendered universe; final Indonesian pagination is unknown.","No Open Logic translation-completion gap remains. Any further intervention must address a catalog-proven content, accessibility, offline-delivery, diagnostic, QA, maintenance, or advanced-topic gap without duplicating the current program.","No content package preselected: use the verified 27-published/13-production catalog to commission only an exact remaining course or format gap.","Commission only a specifically demonstrated missing package or accessibility/maintenance intervention.","Open Logic is already 722/722; map OpenStax or other sources only to a demonstrated missing curriculum function after catalog reconciliation.","Retain and improve verified offline HTML/EPUB + screen/print PDF + complete answers/worked error explanations + Indonesian academic-language glossary only where the audit finds a practical-access or quality gap",high,audited_current_public_program,"BPS 248,501,794 is an age-5+ spoken/understood-language criterion, not written or academic proficiency. Page universes are not interchangeable: 19,745 teaching-package, 20,763 selected-corpus working, 27,705 rendered-universe, and 26,031 public-artifact reconstruction pages are not a final translated-page total."
NEED-002,NAT-001,Bangladesh Bangla,bn-Beng-BD,Bangladesh,165323060,primary,"NSA 2022: 39% of Grade 3 and 30% of Grade 5 students met grade-level mathematics standards; the report states about two thirds had not achieved grade-level foundational skills",2022,https://dpe.portal.gov.bd/sites/default/files/files/dpe.portal.gov.bd/publications/27a08801_1d5d_4e08_8fdb_25a4a693a2f3/NSA-2022%20Final%20Report.pdf,"Nationally representative school sample; Grades 3 and 5","NCTB downloadable school mathematics and Bangladesh Open University materials exist; adaptation rights and self-study completeness vary","Foundational numeracy mastery with independent feedback and offline access, not another isolated secondary textbook","Bangla Grade 2-5 number sense, operations, place value, fractions, measurement and pattern kit with diagnostics and complete worked answers","Arithmetic-to-prealgebra bridge, then Algebra 1 for learners who pass readiness checks","OpenStax Prealgebra 2e selections plus locally aligned exercises; Elementary Algebra follows; Open Logic is a later proof/logic lane","printable activity cards + low-size offline bundle + optional audio/IVR explanations + no-login answer checks",high,high,"National student results do not equal the whole Bangla-speaking population; portal availability does not prove an open license"
NEED-003,NAT-003,Telugu,te-Telu-IN,Andhra Pradesh and Telangana India,80912459,primary,"ASER rural 2024: Andhra Pradesh Grade 3 at least subtraction 44.1% and Grade 5 division 36.2%; Telangana 30.9% and 25.2%",2024,"https://asercentre.org/wp-content/uploads/2022/12/Andhra-Pradesh-1.pdf ; https://asercentre.org/wp-content/uploads/2022/12/Telangana-1.pdf","Rural household assessment of children age 5-16; state proxies, not language-speaker samples","State school books exist, including Telugu-English bilingual materials in Telangana","Mastery/feedback bridge across operations, fractions and algebra plus a terminology bridge to later English-medium STEM","Telugu-English Grades 3-10 mastery bridge with placement, error-specific explanations and full solutions","Algebra/trigonometry/precalculus after demonstrated readiness; undergraduate calculus and proof as separate later lanes","OpenStax Prealgebra/Elementary Algebra/Algebra 1 dependency path; Open Logic proof vocabulary only after secondary bridge","shared-device offline ZIP + print masters + bilingual glossary + semantic HTML/MathML",high,medium,"ASER is rural and territorial; Andhra Pradesh and Telangana differ materially and should not be averaged into a fake single rate"
NEED-004,NAT-002,Indian Bengali,bn-Beng-IN,West Bengal India,96177835,primary,"ASER rural West Bengal 2024: 40.9% of Grade 3 children could do at least subtraction and 35.0% of Grade 5 children could divide",2024,https://asercentre.org/wp-content/uploads/2022/12/West-Bengal-1.pdf,"Rural household assessment; 18 of 18 sampled state districts","West Bengal school mathematics materials exist","Recovery sequence with feedback and progression from arithmetic/fractions into algebra, rather than another disconnected grade book","Bangla Grades 3-8 arithmetic/fractions-to-algebra catch-up with placement tests, short mastery units and full answers","Secondary functions/trigonometry/statistics and then undergraduate core for ready learners","OpenStax Prealgebra/Elementary Algebra/Algebra 1 selections; Open Logic proof/sets as a later route","one printable/offline download + low-size phone HTML + worked solutions + Indian Bengali terminology profile",high,medium,"Bangladesh Bangla is a separate edition profile; ASER is a rural West Bengal proxy and not a direct language-population assessment"
NEED-005,NAT-028,Vietnamese,vi-Latn-VN,Vietnam,89000000,secondary,"PISA 2022: 72% of represented 15-year-old students reached mathematics Level 2 or higher and 5% reached Levels 5-6",2022,https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/viet-nam_a727c3a8-en.html,"National student sample representing 68% of the total age cohort; OECD cautions against direct trend comparison","VOER reports extensive Vietnamese Mathematics and Statistics modules; raw item absence is not the main demonstrated gap","Coherent dependency spine, diagnostics, complete solutions and reusable offline packaging across fragmented materials","Vietnamese precalculus-to-calculus-to-linear-algebra self-study spine, reusing suitable open local modules before retranslating","Discrete mathematics/proof and advanced reference modules for documented tertiary cohorts","OpenStax Precalculus and Calculus 1-3 plus Hefferon Linear Algebra; Open Logic Sets, Logic, Computation for proof/logic","offline course graph + prerequisite tests + graded problems/hints/full solutions + print and semantic EPUB/MathML",high,medium,"Foundational remediation remains relevant to the 28% below Level 2 but is not the correct universal first product; local module quality/licensing still requires an artifact audit"
NEED-006,NAT-006,Marathi,mr-Deva-IN,Maharashtra India,82801140,primary_to_secondary,"ASER rural Maharashtra 2024: 31.3% of Grade 3 children could do at least subtraction and 27.7% of Grade 5 children could divide",2024,https://asercentre.org/wp-content/uploads/2022/12/Maharashtra-1.pdf,"Rural household assessment","eBalbharati provides a substantial Classes 1-12 textbook/workbook system; reuse requires licensing checks","Do not duplicate existing early-grade books; bridge remediation to secondary and first-year STEM with independent feedback","Marathi Grade 8-to-first-year-STEM bridge with embedded fractions/algebra diagnostic, functions, trigonometry, precalculus and proof introduction","Calculus readiness, elementary linear algebra and statistics for ready learners","OpenStax Algebra and Trigonometry/Precalculus plus Calculus; Open Logic proof/sets modules","offline/print package + Marathi-English technical glossary + full worked answers",high,medium,"The foundational deficit is real, but existing supply makes a new primary textbook a weaker marginal choice than a recovery/transition spine"
NEED-007,NAT-004,Indian Tamil,ta-Taml-IN,Tamil Nadu India,68888839,primary,"ASER rural Tamil Nadu 2024: 27.8% of Grade 3 children could do at least subtraction and 20.8% of Grade 5 children could divide",2024,https://asercentre.org/wp-content/uploads/2022/12/Tamil-Nadu-1.pdf,"Rural household assessment; 30 of 31 sampled state districts","Tamil Nadu has an established state textbook ecosystem","Teacher-independent diagnostic recovery from number sense through fractions, ratio and early algebra with complete feedback","Tamil Grades 2-8 numeracy recovery course with placement, mastery units, full answers and worked misconception explanations","Secondary algebra/trigonometry/statistics after readiness; advanced Tamil reference remains a separate prestige/research lane","OpenStax Prealgebra/Elementary Algebra dependency path; Open Logic later for proof/logic","low-bandwidth audio supplement + tagged EPUB/PDF + print masters + no-login offline ZIP",high,medium_high,"State proxy is rural and does not describe all Indian Tamil speakers; advanced work is not useless, only lower marginal priority for the first broad-access package"
NEED-008,NAT-015,Western Punjabi,pnb-Arab-PK,Pakistan Punjab,88915544,secondary_to_undergraduate,"ASER Pakistan 2023: 60.5% of rural Punjab Grade 5 children solved two-digit division; 2023 census counted 85,309,591 Punjabi mother-tongue residents in Punjab province",2023,"https://aserpakistan.org/document/2024/aser_national_2023.pdf ; https://www.pbs.gov.pk/wp-content/uploads/census_tables/tables/table_11_punjab_province.pdf","Punjab rural student assessment plus provincial mother-tongue census","Urdu/English science and mathematics platforms exist; no coherent openly licensed Shahmukhi Punjabi mathematics spine was located","Shahmukhi language/terminology bridge from secondary mathematics into undergraduate STEM, with optional foundational diagnostics","Shahmukhi Punjabi-to-Urdu/English algebra, functions, trigonometry, precalculus and proof bridge","Calculus, linear algebra and probability for ready learners","OpenStax Algebra and Trigonometry/Precalculus/Calculus plus Hefferon Linear Algebra; Open Logic proof/sets","phone-first offline ZIP + Shahmukhi typography + trilingual glossary + complete solutions",high,medium,"Do not substitute Indian Gurmukhi Punjabi; the 88,915,544 candidate ceiling and 85,309,591 province count use different census constructions"
NEED-009,NAT-038,Javanese,jv-Latn-ID,Indonesia,68044660,primary_to_secondary,"No Javanese-specific large-scale mathematics assessment located; Indonesia PISA gives only a national proxy and BPS 2010 counted 68,044,660 age-5+ daily home users",2010_to_2022,"https://www.bps.go.id/id/publication/2012/05/23/55eca38b7fe0830834605b35/kewarganegaraan-suku-bangsa-agama-dan-bahasa-sehari-hari-penduduk-indonesia.html ; https://www.oecd.org/en/publications/pisa-2022-results-volume-i-and-ii-country-notes_ed6fbcc5-en/indonesia_c2e1ae0e-en.html","Language count plus country-level student outcome proxy","Formal school mathematics and examinations use Bahasa Indonesia; regional-language use is strongest in early learning and community contexts","Comprehension scaffold and transfer into canonical Indonesian academic terminology, not an untested parallel monolingual university curriculum","Oral/bilingual Javanese-to-Bahasa number-sense through prealgebra/algebra scaffold with audio and deliberate terminology transfer","Bilingual secondary modules only where use evidence supports them; Indonesian editions remain the onward spine","Adapt OpenStax foundational worked examples as bilingual modules; connect to the completed/active Indonesian corpus; Open Logic only later","Latin-script core + optional Javanese-script derivative + audio + print/offline phone package",medium,medium,"Outcome evidence is not Javanese-specific; register, dialect and script choices require explicit profiles rather than a single pan-Javanese claim"
NEED-010,NAT-007,Gujarati,gu-Gujr-IN,Gujarat India,55036204,primary,"ASER rural Gujarat 2024: 19.1% of Grade 3 children could do at least subtraction and 14.3% of Grade 5 children could divide",2024,https://asercentre.org/wp-content/uploads/2022/12/Gujarat-1.pdf,"Rural household assessment","Gujarat already provides state self-study and bridge materials","Measured deficit despite content availability points to diagnosis, misconception feedback, complete explanations and parent/teacher-independent use","Gujarati Grades 2-6 diagnostic remediation in place value, operations, fractions and proportional reasoning","Arithmetic-to-algebra bridge after mastery; secondary/undergraduate work is a later cohort-specific lane","OpenStax Prealgebra selections plus newly written complete feedback; Elementary Algebra follows readiness","printable worksheets + instant/offline answer feedback + openly reusable source + lightweight phone bundle",high,high,"ASER is rural and territorial; existing state material means the intervention is a redesigned mastery system, not merely another textbook"
