portfolio_position,intervention_id,intervention_type,intervention_name,target_profiles,output_count,territory_or_scope,portfolio_lane,admission_lane,population_low,population_base,population_high,population_measure,population_years,population_observation_ids,population_source_ids,marginal_access_low,marginal_access_base_sensitivity,marginal_access_high,marginal_access_high_optimistic_sensitivity,access_factor_status,gross_tokens_low,gross_tokens_base,gross_tokens_high,base_marginal_access_per_million_tokens,optimistic_access_per_million_tokens,scarcity_adjusted_access_per_million_tokens,scarcity_adjusted_access_per_million_tokens_sensitivity,informative_rank_best,informative_rank_worst,recommended_first_product,recommended_openstax_next_product,recommended_openstax_depth,openstax_next_gross_tokens_low,openstax_next_gross_tokens_base,openstax_next_gross_tokens_high,deduplication_rule,sensitivity_label_note,evidence_caveat
1,NAT-122,natural_language_edition,Standard Simplified Chinese (Mainland China),zh-Hans-CN,1,China,high_reach_underserved,base,1411778724,1411778724,1411778724,official_census_mainland_population_gross_territory_ceiling,2020-11-01,POP-CN-001,PM-S022,0,682877354,1411778724,1411778724,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,167657534.687,1546753034.007,13717404.087,13717404.087,1,1,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,one exact population observation; excluded if consumed by a selected shared-core package,"base, optimistic, and scarcity values are model sensitivities; none is an observed harmed-population count","Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
2,NAT-121,natural_language_edition,Bahasa Indonesia,id-Latn-ID,1,Indonesia,high_reach_underserved,optimistic,0,248501794,248501794,official_long_form_census_able_to_speak_indonesian_persons_age5plus,2022,POP-ID-018,PM-S021,0,119280861,248501794,248501794,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,29285397.991,272260020.137,266233.478,266233.478,2,26,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,one exact population observation; excluded if consumed by a selected shared-core package,"base, optimistic, and scarcity values are model sensitivities; none is an observed harmed-population count","Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
3,NAT-003,natural_language_edition,Telugu,te-Telu-IN,1,India,high_reach_underserved,scarcity,80912459,80912459,80912459,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-021,PM-S001,0,57833869,78144198,78144198,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,14199158.665,85615240.754,8003157.094,8003157.094,2,7,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,one exact population observation; excluded if consumed by a selected shared-core package,"base, optimistic, and scarcity values are model sensitivities; none is an observed harmed-population count","Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
4,NAT-002,natural_language_edition,Indian Bengali,bn-Beng-IN,1,India,high_reach_underserved,base,96177835,96177835,96177835,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-002,PM-S001,0,69699712,93375817,93375817,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,17112416.767,102303091.690,3733621.177,3733621.177,3,10,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,one exact population observation; excluded if consumed by a selected shared-core package,"base, optimistic, and scarcity values are model sensitivities; none is an observed harmed-population count","Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
5,NAT-001,natural_language_edition,Bangladesh Bangla,bn-Beng-BD,1,Bangladesh,high_reach_underserved,optimistic,0,165323060,165323060,derived_cldr_territory_functional_language_users,2026-03-17 CLDR release; component estimate year not stated,ASSEC-BD-BN-001,ASSEC-S006,0,65302609,165323060,165323060,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,16032856.221,181128912.272,3498080.676,3498080.676,3,11,FR-2 Formal Reasoning Core,MV-1,D3,1612429,5474018,21073801,one exact population observation; excluded if consumed by a selected shared-core package,"base, optimistic, and scarcity values are model sensitivities; none is an observed harmed-population count","Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
6,NAT-006,natural_language_edition,Marathi,mr-Deva-IN,1,India,high_reach_underserved,scarcity,82801140,82801140,82801140,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-013,PM-S001,0,50316309,75430264,75430264,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,12353475.001,82641838.777,7524390.450,7524390.450,3,8,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,one exact population observation; excluded if consumed by a selected shared-core package,"base, optimistic, and scarcity values are model sensitivities; none is an observed harmed-population count","Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
7,NAT-004,natural_language_edition,Indian Tamil,ta-Taml-IN,1,India,high_reach_underserved,base,68888839,68888839,68888839,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-020,PM-S001,0,48387709,66095914,66095914,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,11879972.227,72415070.278,5615983.505,5615983.505,6,10,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,one exact population observation; excluded if consumed by a selected shared-core package,"base, optimistic, and scarcity values are model sensitivities; none is an observed harmed-population count","Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
8,NAT-028,natural_language_edition,Vietnamese,vi-Latn-VN,1,Vietnam,high_reach_underserved,optimistic,89000000,89000000,89000000,peer_reviewed_published_lower_bound_speakers,2016 publication; population estimate vintage not stated,ASSEC-VN-VI-001,ASSEC-S007,0,42777849,89000000,89000000,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,10502660.047,97508920.971,1623133.677,1623133.677,5,17,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,one exact population observation; excluded if consumed by a selected shared-core package,"base, optimistic, and scarcity values are model sensitivities; none is an observed harmed-population count","Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
9,NAT-038,natural_language_edition,Javanese,jv-Latn-ID,1,Indonesia,high_reach_underserved,scarcity,68044660,68044660,68044660,daily_language_at_home_age5plus_persons,2010,POP-ID-001,PM-S005,0,32661437,68044660,68044660,territory_adult_literacy_proxy_sensitivity;unmeasured_low0_neutral0.5_high1_sensitivity,912737,4073049,18664571,8018915.805,74550127.802,7362824.017,7362824.017,4,10,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,one exact population observation; excluded if consumed by a selected shared-core package,"base, optimistic, and scarcity values are model sensitivities; none is an observed harmed-population count","Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
10,NAT-007,natural_language_edition,Gujarati,gu-Gujr-IN,1,India,high_reach_underserved,base,55036204,55036204,55036204,census_same_name_mother_tongue_component_persons,2011,POP-IN-COMP-005,PM-S001,0,34089878,50467358,50467358,territory_adult_literacy_proxy_sensitivity;India_C17_category_proxy_sensitivity,912737,4073049,18664571,8369621.382,55292332.841,6467432.383,6467432.383,5,12,FR-2 Formal Reasoning Core,SB-1,D3,2997367,11374125,47112357,one exact population observation; excluded if consumed by a selected shared-core package,"base, optimistic, and scarcity values are model sensitivities; none is an observed harmed-population count","Population values retain the source universe and reported interval status. Missing population intervals use a zero-to-point ranking sensitivity; missing practical access or academic overlap uses low 0, neutral 0.5, high 1. Base access is therefore a labelled sensitivity, not a measured harmed-population count."
